Id;Date;Auteur;Titre;Langue
11801846;2011-01-01;J. D. Weigl and I. Inayati and Hamdani Saidi;Development of hydrogen fuel cell motorcycle in South East Asia;English
154479682;2015-06-01;E. Matthew Washing and Srinivas S. Pulugurtha;Well-to-Wheel Analysis of Electric and Hydrogen Light Rail;English
42912289;2011-01-01;Joerg D. Weigl and I. Inayati and Hamdani Saidi;Development of hydrogen fuel cell motorcycle in South East Asia;
234881680;2010;Battipede M. and Della Corte A. and Vazzola M. and Tancredi D.;Innovative airplane ground handling system for green operations;English
229089533;2011-03-01;Mahreni Mahreni and Mohamad A.B. Mohamad and Daud W.R.W. Daud and Kadhum A.A. H. Kadhum;Nanocomposite Electrolyte for PEMFC Application;
82213584;2015-12-31;Christina Barboza;Towards a Renewable Energy Decision Making Model ;
158607400;2017-07-10;Munjur E Moula and Judit Nyári and Angela Bartel;Public acceptance of biofuels in the transport sector in Finland;
3171;1998-07-08;Victor William Adams;The Potential Of Fuel Cells To Reduce Energy Demands And Pollution From The UK Transport Sector;English
328381674;2019-01-01;Najmul Hoque and Wahidul Biswas and Ilyas Mazhar and Ian Howard;Environmental Life Cycle Assessment of Alternative Fuels for Western Australia’s Transport Sector;English
288432637;2020-03-01;Andrew Burke and Anish Kumar Sinha;Technology, Sustainability, and Marketing of Battery Electric and Hydrogen Fuel Cell Medium-Duty and Heavy-Duty Trucks and Buses in 2020-2040;English
12515999;2007-04-24;Anders Chr. Hansen;Hydrogen and fuel cell technology in EU LDV transport: Potential contribution to environmental goals;
231748963;2019-01-01;Stefano Ricci and Mohammad Hassan Davoudi Zavareh;Assessment of energy and emissions saving solutions in urban rail-based transport systems;English
55252621;2015-01-01;Fabrizio D'Errico and Massimo Bertoncini and Adamo Screnci;The INGRID project: Development of Solutions for Sustainable and Highly Interconnected Grids;
265078018;2017-12-11;Marwa Haddad and Jean Nicod and Marie Péra;Hydrogen infrastructure: data-center supply-refueling station synergy;English
195306830;2015-11-24;C Raucci and J Calleya and S Suarez De La Fuente and R Pawling;Hydrogen on board ship: a first analysis of key parameters and implications;
6530282;;Norbert Auner;Silicon as an intermediary between renewable energy and hydrogen;English
6469658;;P. Balachandra and B. Sudhakara Reddy;Hydrogen Energy For Indian Transport Sector - A Well-To-Wheel Techno-Economic and Environmental Feasibility Analysis;English
376010007;2019-01-01;Zaira Navas-Anguita and Diego García-Gusano and Javier Dufour and Diego Iribarren;Prospective techno-economic and environmental assessment of a national hydrogen production mix for road transport;English
387317505;2021-02-07;Junjie Yin and Jianhua Wang and Jun You;Electricity-gas integrated energy system optimal operation in typical  scenario of coal district considering hydrogen heavy trucks;English
80644832;Oct 1, 197;R. H. Petersen and M. H. Waters;Hypersonic transports:  Economics and environmental effects;English
82389866;2015-06-30;J. Simon and A.M. Ferriz and L.C. Correas;HyUnder – Hydrogen Underground Storage at Large Scale: Case Study Spain ;
61431459;2013-01-01;Prashant V. Kamat and Juan Bisquert;Solar Fuels. Photocatalytic Hydrogen Generation;
322613224;2019-09-01;T.T. Turgunboev and A.A. Saidov;Prospective Of Hydrogen in Automobile Transport;English
6604814;;P. Balachandra and B. Sudhakara Reddy;Hydrogen energy for Indian transport sector: A Well-to-wheel techno-economic and environmental feasibility analysis;English
52124957;2015;Karel Ludovic Hubert;Economic and technical assessment of hydrogen and fuel cells opportunities in the Norwegian transport sector;
162412186;2008-01-01;Jean-Charles Hourcade and Renaud Crassous and Christophe Cassen and Bruno Dorin and Vincent Gitz;A novel hybrid architecture for agriculture and land use in an integrated modeling framework : MATISSE (Methods and Tools for Integrated Sustainability Assesment);English
42836500;Jun 1, 198;Richard S. Baldwin;Electrochemical performance and transport properties of a Nafion membrane in a hydrogen-bromine cell environment;English
81675594;2017-02-28;C Raucci;The potential of hydrogen to fuel international shipping;
47768083;2011-05-01;Philippe Menanteau and Marie-Marguerite Quéméré and Alain Le Duigou and Sandra Le Bastard;An economic analysis of the production of hydrogen from wind-generated electricity for use in transport applications;
7080018;;Malte Schwoon;Simulating the Adoption of Fuel Cell Vehicles;English
14504835;2005-04-11;Norbert Auner;Silicon as an intermediary between renewable energy and hydrogen;German
14504841;2005-04-11;Norbert Auner;Silicon as an intermediary between renewable energy and hydrogen;English
275581405;2019-11-08;Juan Camilo Gomez Trillos and Dennis Wilken and Urte Brand and Thomas Vogt;HySeas III: The World's First Sea-Going Hydrogen-Powered Ferry – A Look at its Technical Aspects, Market Perspectives and Environmental Impacts;
98113054;2016-01-01;Vincenzo Franzitta and Domenico Curto and Davide Rao and Alessia Viola;Hydrogen Production from Sea Wave for Alternative Energy Vehicles for Public Transport in Trapani (Italy);
326045540;2020-01-01;Amir Zafri Azwa;Hydrogen : As a future energy source;English
82180173;2012-12-31;M. Suha Yazici and Mustafa Hatipoglu;Hydrogen and Fuel Cell Demonstrations in Turkey ;
6702785;;Philippe Menanteau and Marie-Marguerite Quéméré and Alain Le Duigou and Sandra Le Bastard;An economic analysis of the production of hydrogen from wind-generated electricity for use in transport applications;English
36684801;2009-06-01;1966-  Jeffrey Dean Fisher;Planning for Hydrogen Fueled Transportation in Oregon;
199427101;2018-01-01;Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz;Efficient solar hydrogen generation in microgravity environment;
211379495;2018-07-10;Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz;Efficient solar hydrogen generation in microgravity environment;
297283507;2019-01-01;Anton Ochoa Bique;Strategic design of a hydrogen infrastructure under uncertainty;English
249317632;2019-01-01;Anton Ochoa Bique;Strategic design of a hydrogen infrastructure under uncertainty;
9426117;2011-06-01;J Sadhukhan and KS Ng;Economic and European Union Environmental Sustainability Criteria Assesment of Bio-Oil-Based Biofuel Systems: Refinery Integration Cases;English
199234955;2019-04-01;Mohammad Amin Mirzaei and Morteza Nazari-Heris and Behnam Mohammadi-Ivatloo and Mousa Marzband;Day-Ahead Network-Constrained Scheduling of CHP and Wind Based Energy Systems Integrated with Hydrogen Storage Technology;
38429951;2011-01-22;Σοφία Γ. Δαΐκου and Sophia G. Daikos;Μελέτη οχήματος πόλης με τεχνολογία φιλική προς το περιβάλλον;
211987502;2018-10-31;Francesco Baldi and Ligang Wang and François Maréchal;Integration of solid oxide fuel cells in cruise ship energy systems;
162294661;2017-01-01;Koji Tokimatsu and Benjamin McLellan and Mikael Höök and Shinsuke Murakami and Rieko Yasuoka and Masahiro Nishio;Energy modeling approach to the global energy-mineral nexus: A case of fuel cell vehicle;
30996609;2011-01-01;Horst E. Friedrich and Simone Ehrenberger;International Microalgae and Biofuels workshop: FUTURE HYDROGEN USES FOR MOBILITY AND THE NEEF FOR GREEN PRODUCTION ROUTES;
52949231;2004-09;K. Yamashita and L. Barreto;Biomass Gasification for the Co-Production of Fischer-Tropsch Liquids and Electricity;
33898870;2004-09-01;K. Yamashita and L. Barreto;Biomass Gasification for the Co-Production of Fischer-Tropsch Liquids and Electricity;
41823091;2015-01-01;J.M. Jiménez Ariza and S.A. Gómez Lopera;Modelization of a hybrid system with renewable energy for electric propulsion in boats. Application to a robotic floating platform;
42890124;Feb 1, 197;R. E. Morris and G. D. Brewer;Study of active cooling for supersonic transports;English
159635820;2018-07-16;Sara Rajabihamedani;Life cycle assessment of energy generation from agricultural biomass via innovative energy conversion systems;English
52099728;2012;Julianne Mari Ryste;Screening LCA of GHG emissions related to LNG as ship fuel;
334761440;2018-01-01;G. Pedrosa and Y. Leontyeva and I. Mayburov;Promoting zero emissions buses programs: A study of ekaterinburg residents’ willingness to pay;English
223072145;2018-01-01;G. Pedrosa and Yu. Leontyeva and I. Mayburov;Promoting Zero Emissions Buses Programs: a Study of Ekaterinburg Residents’ Willingness to Pay;
74236639;2017-03-01;C Brand and C Cluzel and J Anable;Modeling the uptake of plug-in vehicles in a heterogeneous car market using a consumer segmentation approach;
18540019;2013-11-04;Sofía De León Almaraz and Catherine Azzaro-Pantel and Ludovic Montastruc and Luc Pibouleau and Oscar Baez Senties;Assessment of mono and multi-objective optimization to design a hydrogen supply chain;
39297574;2013-01-01;K. Fujii and T. Shikama and M. Goto and S. Morita and M. Hasuo;Hydrogen transport diagnostics by atomic and molecular emission line profiles simultaneously measured for large helical device;
51495981;2015-01-01;A. Díaz de Arcaya and A. González-González and J.A. Alzola and V. Sánchez;Cooperative Simulation Tool with the Energy Management System for the Storage of Electricity Surplus through Hydrogen;
4427274;2010-01-01;M. Eng. Massachusetts Institute of Technology  Jianfeng Zhu;An evaluation of the hydrogen economy and metal oxide based photo-electrochemical cells;
144500914;2012-02-01;이경진;Performance Analysis of Methane Fueled Marine Solid Oxide Fuel Cell Single and Hybrid Power System;Korean
216288881;2018-07-10;Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz;Efficient solar hydrogen generation in microgravity environment;
82613601;2015-08-31;Mårten Larsson and Stefan Grönkvist and Per Alvfors;Synthetic Fuels from Electricity for the Swedish Transport Sector: Comparison of Well to Wheel Energy Efficiencies and Costs ;
80644214;Nov 10, 19;W. Berry and J. Espil and E. Swanson and C. Quartero and R. Calleson;A fuel conservation study for transport aircraft utilizing advanced technology and hydrogen fuel;English
30319204;2015-06-08;Maarten Christiaan Verbraeken and Chaksum Cheung and Emmanuelle Suard and John Thomas Sirr Irvine;High H- ionic conductivity in barium hydride;English
40046368;2009-01-01;Peter Clarke;Mathematical modelling of BIPV-micro wind system : production, storage and usages;
231956786;2019-09;Axel Michaelowa and Sonja Butzengeiger;Breakthrough of hydrogen technologies until 2030: chances and risks for Gulf countries, international policy implications;
77229655;2016-06-19;Jürgen Weimer and Stephan Schmid and Michael Schier and Frank Rinderknecht and Gerhard Kopp and Frank Köster and Tilman Bünte;Next Generation Car – Technologies for future EVs;
145241414;2018-04-30;Mahdi Kiaee and David Infield and Andrew Cruden;Utilisation of alkaline electrolysers in existing distribution networks to increase the amount of integrated wind capacity;
289998378;2019-06-25;Francisco Javier Carroquino Oñate and JOSÉ LUIS BERNAL AGUSTÍN and RODOLFO DUFO LÓPEZ;Sistemas de energía renovable en las áreas rurales: una demostración en el sector vitivinícola;English
286564664;2016-01-01;Paulo R. C. Mendes and José María Maestre Torreblanca and Carlos Bordons Alba and Julio Elías Normey Rico;Binary Search Algorithm for Mixed Integer Optimization: Application to energy management in a microgrid;English
82636314;2015-08-31;Matthias Schmitz and Reinhard Madlener;Economic Viability of Kite-Based Wind Energy Powerships with CAES or Hydrogen Storage ;
96621408;2017-11-11;Emad Monemian and Alasdair Cairns and Mark Gilmore and David Newman and Keith Scott;Evaluation of intake charge hydrogen enrichment in a heavy-duty diesel engine;
211557439;2018-05-16;Ralph-Uwe Dietrich and Friedemann Georg Albrecht and Zoe Bealu and Stefan Estelmann and Simon Maier;Economic and environmental prospects of biofuels in the European transport sector;
52122273;2015-09-16;Klaus Skytte and Amalia R. Pizarro and Kenneth B. Karlsson;Use of electric vehicles or hydrogen in the Danish transport sector in order to ensure a stable and sustainable energy system in 2050?;
15614693;2008;A Doddathimmaiah;Unitised regenerative fuel cells in solar-hydrogen systems for remote area power supply;
144149402;2016-08-05;Daniel van Lanen;Energy Storage for Grid Power: Policy Arguments Based on Technical, Economic, and Environmental Analysis;
289954892;2018-01-01;Sara Sigfridsson;Fuel Cell Hybrid Vehicle Modeling in Modelica;English
144149402;2016-08-05;Daniel van Lanen;Energy Storage for Grid Power: Policy Arguments Based on Technical, Economic, and Environmental Analysis;
211557203;2018-06-08;Toni Schirmer and Holger Dittus and Athanasios Iraklis and Mathias Böhm and Johannes Pagenkopf and Joachim Winter;Design and Analysis of a Regio-Shuttle RS1 Diesel Railcar converted to Fuel Cell Hybrid Propulsion;
74409562;2016-01-01;AF Zobaa and SN Afifi and I Pisica;Sustainable Energy - Technological Issues, Applications and Case Studies;
20639435;2006-10-13;Louis Schlapbach and Andreas Züttel;Hydrogen-storage materials for mobile applications;
376008495;2015-01-01;A. Díaz de Arcaya and A. González-González and J.A. Alzola and V. Sánchez;Cooperative Simulation Tool with the Energy Management System for the Storage of Electricity Surplus through Hydrogen;English
74031810;;Peter Clarke;Mathematical modelling of BIPV-micro wind system: production, storage and usages;
82210479;2015-12-31;Minoru Takeda and Hiroyuki Nara and Kazuma Maekawa and Shizuichi Fujikawa and Yu Matsuno and Tsuneo Kuroda and Hiroaki Kumakura;Simulation of Liquid Level, Temperature and Pressure Inside a 2000 Liter Liquid Hydrogen Tank During Truck Transportation ;
38127348;2015-01-01;Ilya Makarikhin and Ilya Osolotkin;Conversion Of An Ordinary Car To Fuel-cell Vehicle;
81217617;2016-09-30;L. van Biert and M. Godjevac and K. Visser and P.V. Aravind;A review of fuel cell systems for maritime applications ;
43495435;2016;J Alazemi;Automotive solar hydrogen fuelling stations: Concept design, performance testing and evaluation;
7372175;;Floris J. Huétink and Alexander van der Vooren and Floortje Alkemade;Initial infrastructure development strategies for the transition to sustainable mobility;English
77024187;2016-10-10;Thomas George Tranter;A Study of Water Management in Polymer Electrolyte Fuel Cells: Compression Effect on Multiphase Flow;
31013655;2014-10-20;Diego Luca de Tena;Large scale renewable power integration with electric vehicles : long term analysis for Germany with a renewable based power supply;
52665421;2010-03-17;Olivier Salvi and Anders Lonnermark and Haukur Ingason and Benjamin Truchot and Roland Leucker and Félix Amberg and Dirk-Jan Molenaar and Horst Hejny;New energy carriers in vehicles and their impact on confined infrastructures Overview of previous research and research needs;
81121166;2014-12-31;Koji Tokimatsu and Satoshi Konishi and Keiichi Ishihara and Tetsuo Tezuka;Global Zero Emission Scenario: Role of Innovative Technologies ;
71324571;2007-10-01;G. L. Hawkes and B. D. Hawkes and M. S. Sohal and P. T. Torgerson and T. Armstrong and M. C. Williams;3D CFD Model of a Tubular Porous-Metal Supported Solid Oxide Electrolysis Cell;
20259153;2011-07-18;Frédéric Gailly;Alimentation électrique d'un site isolé à partir d'un générateur photovoltaïque associé à un tandem électrolyseur/pile à combustible (batterie H2/O2);
231897120;2018-03-01;Joan M. Ogden;Prospects for Hydrogen in the Future Energy System;
71327576;2008-09-30;Andre Boehman and Daniel Haworth;Hydrogen-Assisted IC Engine Combustion as a Route to Hydrogen Implementation;
79548678;2017-01;C Tagliaferri and DJL Brett and S Evangelisti and P Lettieri;Life cycle assessment of a polymer electrolyte membrane fuel cell system for passenger vehicles;
10514088;[2005];Sean B. OByrne and Andrew D. Cutler and Paul M. Danehy and Sarah A. Tedder;Coherent Anti-Stokes Raman Spectroscopy (CARS) Measurements in Supersonic Combustors at NASA Langley Research Center;
10554748;August 201;Sarah Augusta Umberger Tedder;Advancements in Dual-Pump Broadband CARS for Supersonic Combustion Measurements;
10893659;2009-01-01;Tim Williams;Sustainable transport and the impact on the built environment;English
70618658;2016;Anders Lindman and Paul Erhart and Göran Wahnström;Polaronic contributions to oxidation and hole conductivity in acceptor-doped BaZrO3;
301111026;2012-09-01;AZRUL HAYAT TUMPANG;A NEW VOLTAGE & CURRENT BOOSTER FORRENEWABLE ENERGY;English
300406242;2010-01-01;Rifki Muhida and Md. Mamudur Rahman and Riza Muhida and Hideaki Kasai;Applying computational Materials Design (CMD) toward efficient hydrogen production from water;English
59122477;2015-03-13;東野  和幸 and 小野寺  英之 and 杉岡  正敏 and 今井  良二 and 増田  井出夫;Application of Aluminum-Water Reaction for Space Satellite Propulsion;
67758746;2011-07-01;Adam Stephen Kimmel;Heat and Mass Transfer Correlations for Steam Methane Reforming in Non-Adiabatic, Process-Intensified Catalytic Reactors;English
147122055;2018-02-05;Changkyu Kim;An Integrated Modelling and Optimization Approach for Hydrogen Energy Network;English
154405961;2018-02-05;Changkyu Kim;An Integrated Modelling and Optimization Approach for Hydrogen Energy Network;
161953756;2018-08-01;Ziwei Che;Fatigue crack growth in hydrogen pipeline steels;
81138281;2014-02-04;Paul E. Dodds and Will McDowall;Methodologies for representing the road transport sector in energy system models ;
39986234;2011-01-01;Frédéric GAILLY and Stéphan ASTIER and Christophe TURPIN;Alimentation électrique d'un site isolé à partir d'un générateur photovoltaïque associé à un tandem électrolyseur/pile à combustible (batterie H2/O2);
26995692;2013-01-01;Dalius KALISINSKAS and Artūras KERŠYS;Improvement of diesel engine ecological and economic parameters by using hydrogen;
82110649;2013-04-15;Hyun S. Kim and Yong H. Kim and Chul H. Song;Ship-plume sulfur chemistry: ITCT 2K2 case study ;
333958318;2020-01-30;伊藤 俊秀 and 宮澤 樹 and 山本 恭輔 and Ito Toshihide and Miyazawa Tatsuki and Yamamoto Kyosuke;Carbon Dioxide Emissions from Hydrogen Vehicles : Is a Hydrogen-based Society Realistic?;English
20440537;2014-07-01;Jinlei Shang;The role of hydrogen and fuel cells for ultra low carbon vehicles;
52665572;2006-06-13;Lionel Perrette and Henri Paillere and Guillaume Joncquet;Presentation of the French national project DRIVE : experimental data for the evaluation of hydrogen risks on board vehicles, the validation of numerical tools and the edition of guidelines;
52665222;2007-04-16;Lionel Perrette and Henri Paillere and Guillaume Joncquet;Presentation of the french national project DRIVE : experimental data for the evaluation of hydrogen risks onboard vehicles, the validation of numerical tools and the edition of guidelines;
196554128;2012-08-15;Matti Nissilä;Hydrogen Distribution and Refueling for Fuel Cell Vehicles;
80502215;2017;Erik Ahlgren and Martin Börjesson Hagberg and Maria Grahn;Transport biofuels in global energy–economy modelling – a review of comprehensive energy systems assessment approaches;
31017308;2015-04-22;Nathalie Monnerie and Anis Houaijia and Martin Roeb and Christian Sattler;Methane Production via High Temperature Steam Electrolyser from Renewable Wind Energy: A German Study;
250161001;2012-08-15;Matti Nissilä;Hydrogen Distribution and Refueling for Fuel Cell Vehicles;
42693918;2016-07-04;Anders Lindman and Paul Erhart and Göran Wahnström;Polaronic contributions to oxidation and hole conductivity in  acceptor-doped BaZrO$_3$;English
83534114;2016-11-10;Tristan Agaesse;Simulations of one and two-phase flows in porous microstructures, from tomographic images of gas diffusion layers of proton exchange membrane fuel cells;
304592789;2019-09-23;Jonathan Leaver;Hydrogen and New Zealand’s heavy vehicle fleet;English
267012977;2017-12-01;Matthew Crosby and Rebecca Pearce and Jools Buckland and Oliver James;A4_04 "Crimes of the Hot", Possible or Not?;English
235406319;2010-01-01;Sarah Augusta. Tedder;Advancements in dual-pump broadband CARS for supersonic combustion measurements;English
225892508;2016-01-01;Christian Gudbrandsen Sivertsen and Jonas Lunden;Mobility 2.0: Sustainable Business Models for the Automotive Industry : Identifying sustainable sale-of-service mobility business models, utilizing alternative powertrains and autonomous technology;
30976363;2006-01-01;Michael Ponater and Susanne Pechtl and Robert Sausen and Ulrich Schumann and Gerhard Hüttig;Potential of the cryoplane technology to reduce aircraft climate impact: A state-of-the-art assessment;
162665798;;Emad Monemian and Alasdair Cairns and Mark Gilmore and David Newman and Keith Scott;Evaluation of intake charge hydrogen enrichment in a heavy-duty diesel engine;
30308447;2013-01-01;Petr Lakva;Hydrogen production from renewable energy source;Czech
78902332;2017-04-15;J Busch and D Dawson and K Roelich;Closing the low-carbon material loop using a dynamic whole system approach;
288499390;2018-01-30;Foteini Konstantina Petrakopoulou;Economic and Environmental Considerations for Zero-emission Transport and Thermal Energy Generation on an Energy Autonomous Island;English
363449463;2020-12-04;Theodorik Leao;Integration of green hydrogen in the European energy systems;English
54204275;2014;;Effect of HHO on four stroke petrol engine performance;
334869939;2019-10-12;Caleb Amy and Alex Kunycky;Hydrogen as a Renewable Energy Carrier for Commercial Aircraft;English
4395515;2000-01-01;1973-  Jane E. (Jane Elizabeth) Brydges;A hydrogen fueling station in 2005?-- will it happen : how do we get from here to there?;
54442;2005-01-01;N Schofield and H T Yap and C M Bingham;A H2 PEM fuel cell and high energy dense battery hybrid energy source for an urban electric vehicle;English
74252771;2017-04-27;Belkallouche Abderezzak and Krishna Busawon and Richard Binns;Flows consumption assessment study for fuel cell vehicles: Towards a popularization of FCVs technology;
301116305;2011-09-01;Zulfahmie Jalauddin;HYDROGEN GAS HARVESTING FOR ELECTRICITY ENERGY;English
235647501;2012-06-04;Fayaz H. and Saidur R. and Razali N. and Anuar F.R and Saleman A.R and Islam M.R;An overview of hydrogen as a vehicle fuel;English
362659998;2018-01-01;M. Alparone and M. Minutillo and M. Migliaccio and E. Jannelli and N. Massarotti;Hydrogen-based hybrid power unit for light vehicles: Assessment of energy performance and radiated electromagnetic emissions;
289997384;2019-03-15;M. Bailera and P. Lisbona;Energy storage in Spain: Forecasting electricity excess and assessment of power-to-gas potential up to 2050;English
289997269;2019-03-12;J. Carroquino and J.L. Bernal-Agustín and R. Dufo-López;Standalone Renewable Energy and Hydrogen in an Agricultural Context: A Demonstrative Case;English
222881201;2019-06-16;C. Lhuillier and Pierre Brequigny and F Contino and C Mounaïm-Rousselle;EXPERIMENTAL STUDY ON NH3/H2/AIR COMBUSTION IN SPARK-IGNITION ENGINE CONDITIONS;English
161574725;2018-01-01;Truc T. Q. Vo;A technical, economic and environmental analysis of renewable gas produced from power to gas systems;
29251516;2009;W.F. Passchier and J.W. Erisman and van den  P.J. Hazel and D.J.J. Heederik and R. Leemans and J. Legler and J.P. Sluijs and J.W. Dogger;Hydrogen-powered road vehicles : the health benfits and drawbacks of a new fuel;English
42815468;November 1;A. D. Cutler and G. Burt Northam and Jr.  Olin Jarrett and D. P. Capriotti and R. R. Antcliff and D. J. Taylor and M. W. Smith;CARS Temperature Measurements in a Hypersonic Propulsion Test Facility;English
329132091;2020-08-31;Andrew Chapman and Dinh Hoa Nguyen and Hadi Farabi-As and Kenshi Itaoka and Katsuhiko Hirose and Yasumasa Fujii;Hydrogen Penetration and Fuel Cell Vehicle Deployment in the Carbon  Constrained Future Energy System;English
83533090;2015-01-01;Angelina F. Ambrose and Abul Quasem Al-Amin;An assessment of hydrogen fuel cell vehicles in Malaysia;
162294507;2014-01-01;Koji Tokimatsu and Satoshi Konishi and Keiichi Ishihara and Tetsuo Tezuka;Global Zero Emission Scenario: Role of Innovative Technologies;
84603858;2018-08-10;Wen-Hui Cheng and Matthias H. Richter and Matthias M. May and Jens Ohlmann and David Lackner and Frank Dimroth and Thomas Hannappel and Harry A. Atwater and Hans-Joachim Lewerenz;Monolithic Photoelectrochemical Device for 19% Direct Water Splitting;
43228676;2015-04-17;Maud Bay and Sabine Limbourg;TSP model for electric vehicle deliveries, considering speed, loading and path slope.;
31213044;2012-01-01;Ante Galich and Lutz Marz;Alternative energy technologies as a cultural endeavor: a case study of hydrogen and fuel cell development in Germany;
8348719;;Anja Hemschemeier and Anastasios Melis and Thomas Happe;Analytical approaches to photobiological hydrogen production in unicellular green algae;English
269021959;2019-12-10;Pan Xu;Platinum Group Metal-Free Catalyst and Catalyst Layer Design for PEM Fuel Cells;
11429565;2013;Giulio Romeo and Fabio Borello and G. Correa and Enrico Cestino;ENFICA-FC: Design of transport aircraft powered by fuel cell & flight test of zero emission 2-seater aircraft powered by fuel cells fueled by hydrogen;
16381815;2013-01-01;Joerg Dieter Weigl;Hydrogen fuel cell motorcycle with triple hybrid drive train;
235659024;2016-01-01;Mohd Rozaini Md. Nafiah;Experimental Investigation Of Top Compression Piston Ring Morphology For Hydrogen Enrichment Diesel Engine;English
82271010;2014-12-31;Giacomo Bruni and Stefano Cordiner and Matteo Galeotti and Vincenzo Mulone and Matteo Nobile and Vittorio Rocco;Control Strategy Influence on the Efficiency of a Hybrid Photovoltaic-Battery-Fuel Cell System Distributed Generation System for Domestic Applications ;
62756358;2008-01-01;Jeff Pobst and Lauren Aston and 1983-  Jacob W. Burress and Sara Carter and John Flavin and Mikael Wood and Galen J. Suppes and Phil Buckley and Peter Pfeifer;Making alternative fuel vehicles work: Storage through absorption on Missouri corn cob;
35326025;2011-09-01;Zlatko Sovreski and Anton Causevski and Angel Tasevski and Simeon Simeonov;Strategy for the hydrogen transition;
19777355;2014-02-04;PE Dodds and W McDowall;Methodologies for representing the road transport sector in energy system models;
376248047;2018-05-25;Vitor Diogo Vaz;Descarbonização do setor ferroviário: proposta para linhas não eletrificadas;Portuguese
162015378;2012-10-01;M.P. Siew;Biofuel production from tropical marine algae;
13769681;2000-01-01;L.H. Nielsen and K. Jørgensen;Electric vehicles and renewable energy in the transport sector - energy system consequences. Main focus: Battery electric vehicles and hydrogen based fuel cell vehicles;
81672969;2015-12-02;Theodorus Kok and Adrian Morris and David Baglee and Roger O'Brien;Development of a low cost mixed fuel hydrogen/petrol system for reducing vehicle emissions;
224405398;2016-12-01;Hengbing Zhao and Andrew Burke;Deployment of Sustainable Fueling/Charging Systems at California Highway Safety Roadside Rest Areas;
43599243;2014-01-01;Daniel M. Madyira and Wayne G. Harding;Effect of HHO on four stroke petrol engine performance;English
43603244;2014-01-01;Daniel M. Madyira and Wayne G. Harding;Effect of HHO on four stroke petrol engine performance;English
