Id,Date,Auteur,Titre,Langue,MotCle,Pays,Vehicule,Marque,Moteur,Stockage,Production,Domaine
52076915,2007,Mads Greaker and Tom-Reiel Heggedal,Lock-in and the transition to hydrogen cars. When should governments intervene?,,Climate change/ Hydrogen economy/ Private transport/ Fossil fuels/ JEL classification: L11/ JEL classification: L15/ Hydrogen cars/ JEL classification: L62/ JEL classification: Q42/ VDP::Social science: 200::Economics: 210::Economics: 212/ Lock-in/ Path dependency/ Hydrogen economy/ Climate change polic/,,Voiture/,,Combustion interne/,,,Automobile/Energies Fossiles/
71947214,2015-06-01,E. Matthew Washing and Srinivas S. Pulugurtha,Well-to-Wheel Analysis of Electric and Hydrogen Light Rail,English,Light rail/ electricity/ hydrogen fuel/ well-to-wheel analysis/,,Train/,,,,,Ferroviaire/Energies Renouvelables/
82761899,2015-08-31,Mohamed Douak and Noureddine Settou,Estimation of Hydrogen Production Using Wind Energy in Algeria ,,,Algérie/,,,Combustion interne/,,Electrolyse/,Transport Marchandises/Energies Renouvelables/Energies Fossiles/
82241579,2012-12-31,John Andrews and Bahman Shabani,Where does Hydrogen Fit in a Sustainable Energy Economy? ,,,,,,Combustion interne/Pile à combustible/,Liquide/,,Ferroviaire/Energies Renouvelables/Energies Fossiles/
11418054,2010,Manuela Battipede and A. Della Corte and Matteo Vazzola and D. Tancredi,Innovative airplane ground handling system for green operations,,,,Avion/Tracteur/,,,,,Agriculture/Aéronautique/Transport Marchandises/Energies Renouvelables/Energies Fossiles/
334414203,2019-11-26,Diana Jeleňová and Alan Mortimer and Julia Race and Philipp Thies and Dimitri Mignard,Resource assessment for offshore green hydrogen production,English,,Royaume-Uni/,Train/Voiture/,,,,Electrolyse/,Agriculture/Transport Marchandises/Automobile/Ferroviaire/Energies Renouvelables/Energies Fossiles/Performance/
82320233,2016-11-14,Farid Alavi and Esther Park Lee and Nathan van de Wouw and Bart De Schutter and Zofia Lukszo,Fuel cell cars in a microgrid for synergies between hydrogen and electricity networks ,,,,Voiture/,,Pile à combustible/Hybride/,Gaz/,,Automobile/Energies Renouvelables/Performance/Chimie/
144500915,2012-02-01,오진숙,Influence of Hydrocarbons and Alcohol on the Marine Solid Oxide Fuel Cell System Performance,Korean,,,Voiture/Bateau/,,Combustion interne/Pile à combustible/,Liquide/,SMR/Oxydation partielle/,Transport Marchandises/Transport Personnes/Automobile/Energies Fossiles/Performance/
327193559,2006-12-31,Mikael Sloth,Hydrogen as transportation fuel - Danish & Scandinavian Activities,English,,,Voiture/,,Combustion interne/Pile à combustible/,,,Automobile/Energies Renouvelables/Energies Fossiles/
249952180,2007-01-01,Mads Greaker and Tom-Reiel Heggedal,Lock-in and the transition to hydrogen cars. When should governments intervene?,,Climate change/ Hydrogen economy/ Private transport/ Fossil fuels/ JEL classification: L11/ JEL classification: L15/ Hydrogen cars/ JEL classification: L62/ JEL classification: Q42/ VDP::Social science: 200::Economics: 210::Economics: 212/ Lock-in/ Path dependency/ Hydrogen economy/ Climate change polic/,,Voiture/,,Combustion interne/,,,Automobile/Energies Fossiles/
79492616,2016,Christina Wulf and Martin Kaltschmitt,Assessing hydrogen production from wind and solar power with an LCA,, Woodhead Publishing/ Cambridge/ 201/,Allemagne/Japon/Etats-Unis/,Camion/Bateau/,,Combustion interne/Pile à combustible/,Gaz/Liquide/,SMR/Electrolyse/Thermochimie/,Transport Marchandises/Energies Renouvelables/Energies Fossiles/
11801846,2011-01-01,J. D. Weigl and I. Inayati and Hamdani Saidi,Development of hydrogen fuel cell motorcycle in South East Asia,English,QC Physics/,,Train/Moto/,,Pile à combustible/Hybride/,,Electrolyse/,Ferroviaire/
154479682,2015-06-01,E. Matthew Washing and Srinivas S. Pulugurtha,Well-to-Wheel Analysis of Electric and Hydrogen Light Rail,English,Light rail/ electricity/ hydrogen fuel/ well-to-wheel analysis/,,Train/,,,,,Ferroviaire/Energies Renouvelables/
42912289,2011-01-01,Joerg D. Weigl and I. Inayati and Hamdani Saidi,Development of hydrogen fuel cell motorcycle in South East Asia,,TP Chemical technology/,,Train/Moto/,,Pile à combustible/Hybride/,,Electrolyse/,Ferroviaire/
234881680,2010,Battipede M. and Della Corte A. and Vazzola M. and Tancredi D.,Innovative airplane ground handling system for green operations,English,airport/ ground/ operations/ renewable/ energy/,,Avion/Tracteur/,,,,,Agriculture/Aéronautique/Transport Marchandises/Energies Renouvelables/Energies Fossiles/
229089533,2011-03-01,Mahreni Mahreni and Mohamad A.B. Mohamad and Daud W.R.W. Daud and Kadhum A.A. H. Kadhum,Nanocomposite Electrolyte for PEMFC Application,,600 Teknologi/,Chine/Brésil/Japon/Nouvelle-Zélande/,,,Combustion interne/Pile à combustible/,,Electrolyse/,Agriculture/Energies Renouvelables/Energies Fossiles/
82213584,2015-12-31,Christina Barboza,Towards a Renewable Energy Decision Making Model ,,,,Bus/,,,,,Transport Personnes/Energies Renouvelables/
158607400,2017-07-10,Munjur E Moula and Judit Nyári and Angela Bartel,Public acceptance of biofuels in the transport sector in Finland,,214 Mechanical engineering/ public acceptance/ biofuels/ consumption behavior/,Finlande/,Voiture/,,Hybride/,,,Agriculture/Automobile/Energies Renouvelables/Energies Fossiles/Performance/
3171,1998-07-08,Victor William Adams,The Potential Of Fuel Cells To Reduce Energy Demands And Pollution From The UK Transport Sector,English,,,Train/,,Combustion interne/Pile à combustible/,,,Transport Personnes/Ferroviaire/Energies Fossiles/
328381674,2019-01-01,Najmul Hoque and Wahidul Biswas and Ilyas Mazhar and Ian Howard,Environmental Life Cycle Assessment of Alternative Fuels for Western Australia’s Transport Sector,English,Science & Technology/ Physical Sciences/ Meteorology & Atmospheric Sciences/ alternative transport fuel/ passenger vehicle/ life cycle assessment/ Western Australia/ environmental performance/ SUSTAINABILITY ASSESSMENT FRAMEWORK/ GREENHOUSE-GAS EMISSIONS/ INTERCONNECTED SYSTEM/ RENEWABLE ELECTRICITY/ BIOETHANOL PRODUCTION/ WHEAT PRODUCTION/ ENERGY/ VEHICLES/ FEASIBILITY/ EFFICIENCY/,Australie/,Voiture/,,Pile à combustible/,,,Transport Marchandises/Automobile/Energies Fossiles/Performance/
288432637,2020-03-01,Andrew Burke and Anish Kumar Sinha,"Technology, Sustainability, and Marketing of Battery Electric and Hydrogen Fuel Cell Medium-Duty and Heavy-Duty Trucks and Buses in 2020-2040",English,Alternate fuels/ Buses/ Electric vehicles/ Fleet management/ Fuel cell vehicles/ Fuel consumption/ Life cycle costing/ Marketing/ Operating costs/ Range (Vehicles)/ Renewable energy sources/ Trucks/,,Camion/,,Pile à combustible/,,,Transport Marchandises/Energies Renouvelables/Performance/
12515999,2007-04-24,Anders Chr. Hansen,Hydrogen and fuel cell technology in EU LDV transport: Potential contribution to environmental goals,,Emissions/ air pollutants/ light duty vehicle (LDV) transport in Europe/ scenario analysis/ hydrogen/ fuel cells/ Energy economics/ environmental economics/,,,,Pile à combustible/,,,Energies Fossiles/
231748963,2019-01-01,Stefano Ricci and Mohammad Hassan Davoudi Zavareh,Assessment of energy and emissions saving solutions in urban rail-based transport systems,English,trasporti/ ferrovia/ tram/ railways/ tram/ urban transit/ renewable energy/ fuel cell/ hydrogen/,Italie/,Tramway/,,Combustion interne/,,,Aéronautique/Transport Personnes/Ferroviaire/Energies Renouvelables/Performance/
55252621,2015-01-01,Fabrizio D'Errico and Massimo Bertoncini and Adamo Screnci,The INGRID project: Development of Solutions for Sustainable and Highly Interconnected Grids,,Sustainable electricity/ smart grids/ energy career/ hydrogen/ energy storage/,,Voiture/,,,,,Automobile/Energies Renouvelables/
265078018,2017-12-11,Marwa Haddad and Jean Nicod and Marie Péra,Hydrogen infrastructure: data-center supply-refueling station synergy,English,[INFO.INFO-DS]Computer Science [cs]/Data Structures and Algorithms [cs.DS]/ [PHYS.MECA.MEFL]Physics [physics]/Mechanics [physics]/Mechanics of the fluids [physics.class-ph]/ [PHYS.MECA.THER]Physics [physics]/Mechanics [physics]/Thermics [physics.class-ph]/ [SPI.AUTO]Engineering Sciences [physics]/Automatic/ [SPI.NRJ]Engineering Sciences [physics]/Electric power/,,Voiture/,,Combustion interne/Pile à combustible/Hybride/,,,Automobile/Energies Renouvelables/
195306830,2015-11-24,C Raucci and J Calleya and S Suarez De La Fuente and R Pawling,Hydrogen on board ship: a first analysis of key parameters and implications,,Hydrogen/ storage/ container/ cargo capacity/,Paname/,Bateau/,,Combustion interne/Pile à combustible/,Gaz/Liquide/,,Transport Marchandises/Energies Fossiles/
6530282,,Norbert Auner,Silicon as an intermediary between renewable energy and hydrogen,English,,,,,Combustion interne/,,,Energies Renouvelables/
6469658,,P. Balachandra and B. Sudhakara Reddy,Hydrogen Energy For Indian Transport Sector - A Well-To-Wheel Techno-Economic and Environmental Feasibility Analysis,English,Hydrogen Energy/ Indian Transport Sector/ Feasibility Analysis/,Inde/,,,Combustion interne/Pile à combustible/Hybride/,,,Militaire/Astronautique/Energies Fossiles/
376010007,2019-01-01,Zaira Navas-Anguita and Diego García-Gusano and Javier Dufour and Diego Iribarren,Prospective techno-economic and environmental assessment of a national hydrogen production mix for road transport,English,Carbon footprint/ Energy systems modelling/ Fuel cell electric vehicle/ Hydrogen production mix/ Life cycle assessment/ Road transport/,Espagne/,,,Pile à combustible/,,SMR/Electrolyse/,Energies Renouvelables/Energies Fossiles/Performance/
387317505,2021-02-07,Junjie Yin and Jianhua Wang and Jun You,Electricity-gas integrated energy system optimal operation in typical  scenario of coal district considering hydrogen heavy trucks,English,Electrical Engineering and Systems Science/Systems and Control/,Belgique/,Camion/,,,,Gazéification du charbon/,Astronautique/Transport Marchandises/Energies Renouvelables/Energies Fossiles/
80644832,"Oct 1, 197",R. H. Petersen and M. H. Waters,Hypersonic transports:  Economics and environmental effects,English,AIRCRAFT/,,Avion/,,,Liquide/,,Aéronautique/Performance/
82389866,2015-06-30,J. Simon and A.M. Ferriz and L.C. Correas,HyUnder – Hydrogen Underground Storage at Large Scale: Case Study Spain ,,,Roumanie/Espagne/Pays-Bas/Etats-Unis/Allemagne/Royaume-Uni/France/,,,,,Electrolyse/,Transport Marchandises/Transport Personnes/Energies Renouvelables/Energies Fossiles/
61431459,2013-01-01,Prashant V. Kamat and Juan Bisquert,Solar Fuels. Photocatalytic Hydrogen Generation,,Photocatalysis/ Hydrogen production/,,,,,,Fission photocatalytique/,Energies Renouvelables/
322613224,2019-09-01,T.T. Turgunboev and A.A. Saidov,Prospective Of Hydrogen in Automobile Transport,English,hydrogen/ fuel cell vehicles/ electrolysis/ DSSCs/,Ouzbekistan/,Voiture/,,,,,Transport Marchandises/Transport Personnes/Politique/Automobile/Energies Renouvelables/
6604814,,P. Balachandra and B. Sudhakara Reddy,Hydrogen energy for Indian transport sector: A Well-to-wheel techno-economic and environmental feasibility analysis,English,,Inde/,,,Combustion interne/Pile à combustible/Hybride/,,,Militaire/Astronautique/Energies Fossiles/
52124957,2015,Karel Ludovic Hubert,Economic and technical assessment of hydrogen and fuel cells opportunities in the Norwegian transport sector,,Innovative Sustainable Energy Engineering/ Industrial Ecology/,Etats-Unis/,Voiture/Camion/Bateau/,,Pile à combustible/,,,Transport Marchandises/Transport Personnes/Automobile/Energies Fossiles/
162412186,2008-01-01,Jean-Charles Hourcade and Renaud Crassous and Christophe Cassen and Bruno Dorin and Vincent Gitz,A novel hybrid architecture for agriculture and land use in an integrated modeling framework : MATISSE (Methods and Tools for Integrated Sustainability Assesment),English,,,Voiture/,,Hybride/,,,Agriculture/Transport Personnes/Automobile/Energies Renouvelables/
42836500,"Jun 1, 198",Richard S. Baldwin,Electrochemical performance and transport properties of a Nafion membrane in a hydrogen-bromine cell environment,English,INORGANIC / PHYSICAL CHEMISTRY/,,,,,,,Performance/Chimie/
81675594,2017-02-28,C Raucci,The potential of hydrogen to fuel international shipping,,Hydrogen/ international shipping/ shipping emissions/,,Bateau/,,Combustion interne/Pile à combustible/,,Electrolyse/,Transport Marchandises/Energies Renouvelables/Energies Fossiles/Performance/
47768083,2011-05-01,Philippe Menanteau and Marie-Marguerite Quéméré and Alain Le Duigou and Sandra Le Bastard,An economic analysis of the production of hydrogen from wind-generated electricity for use in transport applications,,wind power/ hydrogen production/ [SHS.ECO]Humanities and Social Sciences/Economics and Finance/,France/,,,,,,Energies Renouvelables/
7080018,,Malte Schwoon,Simulating the Adoption of Fuel Cell Vehicles,English,Diffusion Process/ Agent Based Modeling/ Hydrogen Economy/ Alternative Fuel Vehicles/,,Voiture/,,Pile à combustible/,,,Transport Personnes/Automobile/Energies Fossiles/
14504835,2005-04-11,Norbert Auner,Silicon as an intermediary between renewable energy and hydrogen,German,Regenerative Energie / Wasserstoff / Halbmetall / Dezentrale Energieversorgung/ ddc:540/,,,,Combustion interne/,,,Transport Marchandises/Energies Renouvelables/Energies Fossiles/Chimie/
14504841,2005-04-11,Norbert Auner,Silicon as an intermediary between renewable energy and hydrogen,English,Regenerative Energie / Wasserstoff / Halbmetall / Dezentrale Energieversorgung/ ddc:540/,,,,Combustion interne/,,,Transport Marchandises/Energies Renouvelables/Energies Fossiles/Chimie/
275581405,2019-11-08,Juan Camilo Gomez Trillos and Dennis Wilken and Urte Brand and Thomas Vogt,"HySeas III: The World's First Sea-Going Hydrogen-Powered Ferry – A Look at its Technical Aspects, Market Perspectives and Environmental Impacts",,Energiesystemanalyse/,,Bateau/,,Pile à combustible/,,,Transport Personnes/Energies Fossiles/
98113054,2016-01-01,Vincenzo Franzitta and Domenico Curto and Davide Rao and Alessia Viola,Hydrogen Production from Sea Wave for Alternative Energy Vehicles for Public Transport in Trapani (Italy),,hydrogen/ renewable energy/ sea wave/ mobility/ fuel/ pollution/ Settore ING-IND/11 - Fisica Tecnica Ambientale/,Italie/,,,Combustion interne/,,Electrolyse/,Transport Personnes/Energies Renouvelables/Energies Fossiles/Chimie/
326045540,2020-01-01,Amir Zafri Azwa,Hydrogen : As a future energy source,English,fi=Energia- ja ympäristötekniikka|sv=Energi- och miljöteknik|en=Energy and Enviromental Engineering|/ electrolysis/ fuel cells/ hydrogen/ renewable energy sources/ Environmental Chemistry and Technology/,,Train/,,Pile à combustible/,,,Ferroviaire/Energies Fossiles/
82180173,2012-12-31,M. Suha Yazici and Mustafa Hatipoglu,Hydrogen and Fuel Cell Demonstrations in Turkey ,,,Turquie/,Bateau/,,Combustion interne/Pile à combustible/,,,Transport Personnes/Automobile/Energies Renouvelables/Energies Fossiles/
6702785,,Philippe Menanteau and Marie-Marguerite Quéméré and Alain Le Duigou and Sandra Le Bastard,An economic analysis of the production of hydrogen from wind-generated electricity for use in transport applications,English,wind power / hydrogen production/,France/,,,,,,Energies Renouvelables/
36684801,2009-06-01,1966-  Jeffrey Dean Fisher,Planning for Hydrogen Fueled Transportation in Oregon,,Hydrogen as fuel/ Renewable energy sources -- Iceland/ Renewable energy sources -- Oregon/,Islande/,,,Combustion interne/Pile à combustible/,,,Politique/Energies Renouvelables/
199427101,2018-01-01,Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz,Efficient solar hydrogen generation in microgravity environment,,hydrogen generation/ Chemical engineering/ Electrocatalysis/ Nanoscale materials/ Photocatalysis/ Solar fuels/ ddc:541/,,,,Pile à combustible/,,Fission photocatalytique/,Astronautique/Energies Renouvelables/Chimie/
211379495,2018-07-10,Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz,Efficient solar hydrogen generation in microgravity environment,,,,,,Pile à combustible/,,Fission photocatalytique/,Astronautique/Energies Renouvelables/Chimie/
297283507,2019-01-01,Anton Ochoa Bique,Strategic design of a hydrogen infrastructure under uncertainty,English,Hydrogen supply chain design/ Mixed integer linear programming/ Fuel infrastructures/ Water electrolysis technology/,Allemagne/,,,Combustion interne/Pile à combustible/,,,Transport Personnes/Energies Renouvelables/Energies Fossiles/
249317632,2019-01-01,Anton Ochoa Bique,Strategic design of a hydrogen infrastructure under uncertainty,,Hydrogen supply chain design/ Mixed integer linear programming/ Fuel infrastructures/ Water electrolysis technology/,Allemagne/,,,Combustion interne/Pile à combustible/,,,Transport Personnes/Energies Renouvelables/Energies Fossiles/
9426117,2011-06-01,J Sadhukhan and KS Ng,Economic and European Union Environmental Sustainability Criteria Assesment of Bio-Oil-Based Biofuel Systems: Refinery Integration Cases,English,,,,,Combustion interne/,,Pyrolyse du méthane/,Politique/Energies Renouvelables/Energies Fossiles/Performance/
199234955,2019-04-01,Mohammad Amin Mirzaei and Morteza Nazari-Heris and Behnam Mohammadi-Ivatloo and Mousa Marzband,Day-Ahead Network-Constrained Scheduling of CHP and Wind Based Energy Systems Integrated with Hydrogen Storage Technology,,H600/,,,,Combustion interne/,,,Energies Renouvelables/Energies Fossiles/
38429951,2011-01-22,Σοφία Γ. Δαΐκου and Sophia G. Daikos,Μελέτη οχήματος πόλης με τεχνολογία φιλική προς το περιβάλλον,,Οικολογικά οχήματα/ Υβριδικά οχήματα/ Ηλεκτρικά οχήματα/ Κυψέλες καυσίμου/ Βιοκαύσιμα/ Green vehicles/ Hybrid vehicles/ Electric vehicles/ Fuel cells/ Biofuels/,,Voiture/,,Combustion interne/Pile à combustible/Hybride/,,,Transport Personnes/Automobile/Energies Renouvelables/Chimie/
211987502,2018-10-31,Francesco Baldi and Ligang Wang and François Maréchal,Integration of solid oxide fuel cells in cruise ship energy systems,,,,Bateau/,,Combustion interne/Pile à combustible/,,,Transport Marchandises/Energies Fossiles/Performance/
162294661,2017-01-01,Koji Tokimatsu and Benjamin McLellan and Mikael Höök and Shinsuke Murakami and Rieko Yasuoka and Masahiro Nishio,Energy modeling approach to the global energy-mineral nexus: A case of fuel cell vehicle,,hydrogen/ energy-mineral nexus/ energy model/ metal requirement/,Japon/,,,Pile à combustible/,,,Energies Renouvelables/
30996609,2011-01-01,Horst E. Friedrich and Simone Ehrenberger,International Microalgae and Biofuels workshop: FUTURE HYDROGEN USES FOR MOBILITY AND THE NEEF FOR GREEN PRODUCTION ROUTES,,Institut für Fahrzeugkonzepte/,,Voiture/,,Combustion interne/Pile à combustible/,,Culture d'algues/,Astronautique/Transport Marchandises/Automobile/Energies Renouvelables/Energies Fossiles/
33898870,2004-09-01,K. Yamashita and L. Barreto,Biomass Gasification for the Co-Production of Fischer-Tropsch Liquids and Electricity,,,Japon/,Bateau/,,Combustion interne/,,,Agriculture/Politique/Energies Renouvelables/
41823091,2015-01-01,J.M. Jiménez Ariza and S.A. Gómez Lopera,Modelization of a hybrid system with renewable energy for electric propulsion in boats. Application to a robotic floating platform,,,,Bateau/,,Pile à combustible/Hybride/,,,Astronautique/Energies Renouvelables/
42890124,"Feb 1, 197",R. E. Morris and G. D. Brewer,Study of active cooling for supersonic transports,English,AIRCRAFT DESIGN/ TESTING AND PERFORMANCE/,,Avion/,,,Liquide/,,Aéronautique/
159635820,2018-07-16,Sara Rajabihamedani,Life cycle assessment of energy generation from agricultural biomass via innovative energy conversion systems,English,life cycle assessment/ shadow price/ LCA + DEA/ biohydrogen/ biochar/,,,,Combustion interne/Pile à combustible/,Solide/,SMR/Pyrolyse du méthane/,Agriculture/Transport Marchandises/Energies Renouvelables/Energies Fossiles/Performance/Chimie/
52099728,2012,Julianne Mari Ryste,Screening LCA of GHG emissions related to LNG as ship fuel,,ntnudaim:7592/ MTMART Marin teknikk/ Driftsteknikk/,,Bateau/,,Combustion interne/,Gaz/Liquide/,,Automobile/Energies Fossiles/
334761440,2018-01-01,G. Pedrosa and Y. Leontyeva and I. Mayburov,Promoting zero emissions buses programs: A study of ekaterinburg residents’ willingness to pay,English,AIR POLLUTION/ PUBLIC MARKETING/ TRANSPORTATION POLICY/ WILLINGNESS TO PAY/ ZERO EMISSIONS BUSES/,Russie/,Bus/,,,,,Transport Personnes/
223072145,2018-01-01,G. Pedrosa and Yu. Leontyeva and I. Mayburov,Promoting Zero Emissions Buses Programs: a Study of Ekaterinburg Residents’ Willingness to Pay,,AIR POLLUTION/ PUBLIC MARKETING/ TRANSPORTATION POLICY/ WILLINGNESS TO PAY/ ZERO EMISSIONS BUSES/,Russie/,Bus/,,,,,Transport Personnes/
74236639,2017-03-01,C Brand and C Cluzel and J Anable,Modeling the uptake of plug-in vehicles in a heterogeneous car market using a consumer segmentation approach,,,,Voiture/,,Pile à combustible/Hybride/,,,Automobile/Performance/
18540019,2013-11-04,Sofía De León Almaraz and Catherine Azzaro-Pantel and Ludovic Montastruc and Luc Pibouleau and Oscar Baez Senties,Assessment of mono and multi-objective optimization to design a hydrogen supply chain,,Génie chimique/ Génie des procédés/ Multi-objective optimization/ Hydrogen supply chain/ MILP -Constraint/ Lexicographic optimization/ M-TOPSIS/,,,,Pile à combustible/,,,Astronautique/
39297574,2013-01-01,K. Fujii and T. Shikama and M. Goto and S. Morita and M. Hasuo,Hydrogen transport diagnostics by atomic and molecular emission line profiles simultaneously measured for large helical device,,hydrogen/ plasma confinement/ plasma devices/ plasma diagnostics/ plasma simulation/ plasma transport processes/ Zeeman effect/,,,,,,,Chimie/
51495981,2015-01-01,A. Díaz de Arcaya and A. González-González and J.A. Alzola and V. Sánchez,Cooperative Simulation Tool with the Energy Management System for the Storage of Electricity Surplus through Hydrogen,,Simulation/ Hydrogen/ Fuel Cell/ Solid-state Hydrogen Storage System/ Energy Management System/ Electric Vehicle/ Power Production/ Water Electrolyzer/,Etats-Unis/,,,Pile à combustible/,,,Energies Renouvelables/
4427274,2010-01-01,M. Eng. Massachusetts Institute of Technology  Jianfeng Zhu,An evaluation of the hydrogen economy and metal oxide based photo-electrochemical cells,,Materials Science and Engineering/,,,,Pile à combustible/,,,Transport Marchandises/Automobile/Energies Renouvelables/Energies Fossiles/Performance/Chimie/
144500914,2012-02-01,이경진,Performance Analysis of Methane Fueled Marine Solid Oxide Fuel Cell Single and Hybrid Power System,Korean,,,Voiture/Bateau/,,Combustion interne/Pile à combustible/Hybride/,Liquide/,,Transport Marchandises/Transport Personnes/Automobile/Energies Fossiles/Performance/Chimie/
216288881,2018-07-10,Katharina Brinkert and Matthias H. Richter and Ömer Akay and Janine Liedtke and Michael Giersig and Katherine T. Fountaine and Hans-Joachim Lewerenz,Efficient solar hydrogen generation in microgravity environment,,,,,,Pile à combustible/,,Fission photocatalytique/,Astronautique/Energies Renouvelables/Chimie/
82613601,2015-08-31,Mårten Larsson and Stefan Grönkvist and Per Alvfors,Synthetic Fuels from Electricity for the Swedish Transport Sector: Comparison of Well to Wheel Energy Efficiencies and Costs ,,,,,,,,,Energies Renouvelables/Energies Fossiles/
80644214,"Nov 10, 19",W. Berry and J. Espil and E. Swanson and C. Quartero and R. Calleson,A fuel conservation study for transport aircraft utilizing advanced technology and hydrogen fuel,English,AIRCRAFT/,,Avion/,,,Liquide/,,Astronautique/Aéronautique/Energies Fossiles/
30319204,2015-06-08,Maarten Christiaan Verbraeken and Chaksum Cheung and Emmanuelle Suard and John Thomas Sirr Irvine,High H- ionic conductivity in barium hydride,English,QD Chemistry/ DAS/ BDC/,,,,Pile à combustible/,Solide/,Electrolyse/,Transport Marchandises/Energies Renouvelables/
40046368,2009-01-01,Peter Clarke,"Mathematical modelling of BIPV-micro wind system : production, storage and usages",,130 - Mechanical/ industrial/ civil and marine engineering/ general/ TD Environmental technology. Sanitary engineering/,Etats-Unis/,Voiture/,,,,,Transport Personnes/Automobile/Energies Renouvelables/Performance/
231956786,2019-09,Axel Michaelowa and Sonja Butzengeiger,"Breakthrough of hydrogen technologies until 2030: chances and risks for Gulf countries, international policy implications",,Institute of Political Science/ 320 Political science/,Chine/Australie/Japon/Arabie Saoudite/,Bateau/,,,,Electrolyse/,Energies Renouvelables/Energies Fossiles/Performance/
77229655,2016-06-19,Jürgen Weimer and Stephan Schmid and Michael Schier and Frank Rinderknecht and Gerhard Kopp and Frank Köster and Tilman Bünte,Next Generation Car – Technologies for future EVs,,Institut für Fahrzeugkonzepte/ Institut für Verkehrssystemtechnik/ Institut für Systemdynamik und Regelungstechnik/,,Voiture/,,Hybride/,,,Automobile/
145241414,2018-04-30,Mahdi Kiaee and David Infield and Andrew Cruden,Utilisation of alkaline electrolysers in existing distribution networks to increase the amount of integrated wind capacity,,,,,,Combustion interne/Pile à combustible/,,Electrolyse/,Energies Renouvelables/
289998378,2019-06-25,Francisco Javier Carroquino Oñate and JOSÉ LUIS BERNAL AGUSTÍN and RODOLFO DUFO LÓPEZ,Sistemas de energía renovable en las áreas rurales: una demostración en el sector vitivinícola,English,ingeniería y tecnología eléctricas/ fuentes no convencionales de energía/ riego/ innovación tecnologíca/,,,,Pile à combustible/Hybride/,,,Agriculture/Energies Renouvelables/
286564664,2016-01-01,Paulo R. C. Mendes and José María Maestre Torreblanca and Carlos Bordons Alba and Julio Elías Normey Rico,Binary Search Algorithm for Mixed Integer Optimization: Application to energy management in a microgrid,English,Binary Search Algorithm/ Optimization/ Microgrid/,,,,,,,Energies Renouvelables/
